Wavelength	n	k
0.2214	1.4237	3.1989
0.22242	1.4464	3.237
0.22345	1.4711	3.2763
0.22448	1.4978	3.3169
0.22553	1.5267	3.3588
0.22659	1.5582	3.402
0.22765	1.5925	3.4464
0.22873	1.6297	3.492
0.22981	1.6704	3.5388
0.23091	1.7147	3.5865
0.23202	1.7631	3.635
0.23314	1.8158	3.6842
0.23427	1.8735	3.7337
0.23541	1.9363	3.7832
0.23656	2.0049	3.8322
0.23772	2.0796	3.8802
0.23889	2.1607	3.9264
0.24008	2.2487	3.9701
0.24128	2.3437	4.0102
0.24249	2.4458	4.0457
0.24371	2.5549	4.0754
0.24494	2.6705	4.0979
0.24619	2.792	4.1118
0.24745	2.9184	4.116
0.24872	3.0482	4.1094
0.25	3.1797	4.0911
0.2513	3.311	4.061
0.25261	3.4402	4.0192
0.25394	3.5655	3.9665
0.25528	3.6854	3.9039
0.25663	3.7992	3.8331
0.258	3.9065	3.7552
0.25939	4.0077	3.6714
0.26078	4.1035	3.5819
0.2622	4.1942	3.4863
0.26363	4.2798	3.3831
0.26507	4.3583	3.2708
0.26653	4.4266	3.1486
0.26801	4.4802	3.0177
0.2695	4.5155	2.8819
0.27101	4.5307	2.7466
0.27254	4.5267	2.6174
0.27408	4.5065	2.4988
0.27564	4.4738	2.3933
0.27722	4.4324	2.3022
0.27882	4.3854	2.2255
0.28044	4.3354	2.1629
0.28207	4.2841	2.1138
0.28373	4.233	2.0777
0.2854	4.1834	2.0547
0.28709	4.1364	2.0451
0.28881	4.0937	2.0499
0.29054	4.0578	2.0705
0.2923	4.0327	2.1088
0.29407	4.0255	2.1658
0.29587	4.047	2.2402
0.29769	4.1111	2.3229
0.29954	4.2293	2.3918
0.3014	4.3953	2.4124
0.30329	4.573	2.3581
0.30521	4.7129	2.2396
0.30714	4.7926	2.0998
0.30911	4.8263	1.9772
0.31109	4.8436	1.8865
0.31311	4.8714	1.8217
0.31515	4.927	1.7621
0.31721	5.0094	1.6785
0.31931	5.0937	1.5487
0.32143	5.1445	1.3781
0.32358	5.1442	1.1957
0.32576	5.1001	1.0288
0.32797	5.0298	0.88937
0.3302	4.9482	0.77761
0.33247	4.8644	0.68904
0.33477	4.783	0.61852
0.33711	4.7063	0.56168
0.33947	4.6347	0.51517
0.34187	4.5685	0.47648
0.3443	4.5073	0.44379
0.34677	4.4508	0.41574
0.34928	4.3985	0.39132
0.35182	4.35	0.36975
0.35439	4.3051	0.35043
0.35701	4.2633	0.3329
0.35966	4.2243	0.31678
0.36236	4.188	0.30175
0.36509	4.1541	0.28754
0.36787	4.1225	0.27391
0.37069	4.0928	0.26063
0.37355	4.0651	0.24746
0.37645	4.0391	0.23415
0.37941	4.0148	0.22033
0.38241	3.9919	0.20543
0.38545	3.9704	0.18785
0.38855	3.939	0.1651
0.39169	3.9102	0.15569
0.39489	3.8858	0.14573
0.39814	3.8636	0.13506
0.40145	3.843	0.12336
0.4048	3.8225	0.10981
0.40822	3.7968	0.093241
0.41169	3.7615	0.078298
0.41523	3.7313	0.065678
0.41882	3.7068	0.047059
0.42248	3.6782	0.033231
0.4262	3.6505	0.028085
0.42999	3.625	0.025642
0.43385	3.6011	0.023682
0.43777	3.5786	0.021879
0.44177	3.5571	0.020202
0.44584	3.5366	0.018643
0.44999	3.5169	0.017194
0.45421	3.498	0.015849
0.45852	3.4798	0.014601
0.46291	3.4622	0.013442
0.46738	3.4452	0.012368
0.47194	3.4287	0.011372
0.47659	3.4128	0.01045
0.48133	3.3973	0.0095962
0.48616	3.3823	0.0088061
0.4911	3.3677	0.0080755
0.49614	3.3535	0.0074003
