Wavelength	n	k
0.20664	1.0752	2.5927
0.20767	1.0835	2.6151
0.2087	1.0921	2.6382
0.20975	1.1011	2.6619
0.21081	1.1104	2.6865
0.21188	1.1201	2.7118
0.21295	1.1303	2.7379
0.21404	1.141	2.7649
0.21515	1.1522	2.7928
0.21626	1.164	2.8217
0.21738	1.1765	2.8517
0.21852	1.1896	2.8827
0.21967	1.2036	2.9149
0.22083	1.2184	2.9484
0.222	1.2342	2.9832
0.22318	1.2511	3.0194
0.22438	1.2692	3.057
0.22559	1.2887	3.0963
0.22681	1.3097	3.1373
0.22805	1.3325	3.1801
0.2293	1.3572	3.2248
0.23057	1.3841	3.2715
0.23184	1.4136	3.3204
0.23314	1.446	3.3716
0.23444	1.4817	3.4253
0.23577	1.5214	3.4816
0.2371	1.5656	3.5405
0.23845	1.6152	3.6023
0.23982	1.6711	3.667
0.2412	1.7347	3.7346
0.2426	1.8077	3.8049
0.24402	1.8923	3.8773
0.24545	1.9915	3.9508
0.2469	2.1089	4.0226
0.24837	2.2487	4.0877
0.24985	2.4139	4.1368
0.25135	2.6026	4.1559
0.25287	2.8014	4.1304
0.25441	2.9856	4.0569
0.25597	3.1332	3.9517
0.25755	3.2409	3.8408
0.25914	3.3219	3.7405
0.26076	3.3908	3.653
0.26239	3.4558	3.5739
0.26405	3.5194	3.4981
0.26573	3.5818	3.4226
0.26743	3.6421	3.3457
0.26915	3.6999	3.2664
0.27089	3.7546	3.1839
0.27266	3.8054	3.0973
0.27445	3.8508	3.006
0.27626	3.8889	2.9098
0.2781	3.9173	2.8098
0.27996	3.9343	2.7081
0.28185	3.9393	2.6075
0.28376	3.9324	2.511
0.2857	3.9153	2.4209
0.28766	3.8898	2.3391
0.28966	3.8583	2.2665
0.29168	3.8227	2.2031
0.29372	3.7851	2.1489
0.2958	3.7467	2.1031
0.29791	3.7088	2.065
0.30005	3.6723	2.0337
0.30222	3.6377	2.0085
0.30442	3.6054	1.9886
0.30665	3.5757	1.9733
0.30891	3.5487	1.9619
0.31121	3.5245	1.9539
0.31354	3.5031	1.9489
0.31591	3.4845	1.9464
0.31832	3.4686	1.9461
0.32076	3.4553	1.9477
0.32324	3.4446	1.951
0.32576	3.4365	1.9556
0.32831	3.4307	1.9616
0.33091	3.4272	1.9686
0.33355	3.426	1.9767
0.33623	3.427	1.9858
0.33896	3.4302	1.9958
0.34173	3.4354	2.0067
0.34454	3.4427	2.0187
0.34741	3.4521	2.0317
0.35032	3.4636	2.0459
0.35328	3.4775	2.0616
0.35629	3.4938	2.079
0.35935	3.513	2.0985
0.36246	3.5358	2.1206
0.36563	3.5632	2.1457
0.36886	3.5967	2.174
0.37214	3.6387	2.2056
0.37548	3.6926	2.2391
0.37888	3.7618	2.271
0.38235	3.8487	2.2944
0.38588	3.9508	2.2995
0.38947	4.0575	2.2786
0.39313	4.1533	2.2339
0.39686	4.2284	2.1791
0.40066	4.2865	2.131
0.40454	4.3416	2.0989
0.40849	4.411	2.0805
0.41252	4.5082	2.0625
0.41663	4.6366	2.0226
