Wavelength	n	k
0.4	3	2.5194
0.40939	3	2.48531
0.41879	3	2.45739
0.42818	3	2.44187
0.43757	3	2.44144
0.44696	3	2.45499
0.45636	3	2.47903
0.46575	3	2.5099
0.47514	3	2.5454
0.48454	3	2.58601
0.49393	3	2.63387
0.50332	3.00001	2.68749
0.51271	3.00025	2.74385
0.52211	3.00107	2.79707
0.5315	3.00274	2.83995
0.54089	3.00549	2.86821
0.55029	3.00959	2.88399
0.55968	3.01525	2.89581
0.56907	3.02275	2.91049
0.57846	3.03252	2.92638
0.58786	3.04519	2.93263
0.59725	3.06138	2.91762
0.60664	3.0815	2.8787
0.61604	3.10606	2.82171
0.62543	3.13527	2.75666
0.63482	3.16943	2.6905
0.64421	3.20855	2.62702
0.65361	3.25229	2.5671
0.663	3.29996	2.50996
0.67239	3.35093	2.45428
0.68178	3.40442	2.39882
0.69118	3.45974	2.34282
0.70057	3.51638	2.28593
0.70996	3.57389	2.22785
0.71936	3.63181	2.16824
0.72875	3.68977	2.10704
0.73814	3.7474	2.04421
0.74753	3.80425	1.97962
0.75693	3.85982	1.91309
0.76632	3.91386	1.84481
0.77571	3.9662	1.77499
0.78511	4.01639	1.70373
0.7945	4.06442	1.63147
0.80389	4.11007	1.55845
0.81328	4.153	1.4849
0.82268	4.19324	1.41102
0.83207	4.23044	1.33702
0.84146	4.26445	1.26301
0.85086	4.2945	1.18875
0.86025	4.3185	1.11347
0.86964	4.33525	1.03617
0.87903	4.34281	0.95579
0.88843	4.34187	0.87262
0.89782	4.34027	0.79025
0.90721	4.34332	0.71148
0.9166	4.35094	0.6369
0.926	4.36077	0.56667
0.93539	4.36995	0.49987
0.94478	4.3771	0.4364
0.95418	4.38163	0.37639
0.96357	4.38358	0.32011
0.97296	4.38317	0.26782
0.98235	4.381	0.21981
0.99175	4.3779	0.17636
1.00114	4.37427	0.13775
1.01053	4.37023	0.10424
1.01993	4.36606	0.07611
1.02932	4.3618	0.05357
1.03871	4.35727	0.0367
