Wavelength	n	k
0.20664	1.2743	1.581
0.20767	1.2771	1.5975
0.2087	1.2799	1.6144
0.20975	1.2829	1.6316
0.21081	1.2859	1.6493
0.21188	1.289	1.6673
0.21295	1.2923	1.6859
0.21404	1.2956	1.7049
0.21515	1.2991	1.7244
0.21626	1.3027	1.7444
0.21738	1.3065	1.765
0.21852	1.3104	1.7862
0.21967	1.3145	1.808
0.22083	1.3187	1.8305
0.222	1.3232	1.8537
0.22318	1.3279	1.8777
0.22438	1.3328	1.9024
0.22559	1.3381	1.928
0.22681	1.3436	1.9545
0.22805	1.3495	1.982
0.2293	1.3558	2.0106
0.23057	1.3625	2.0403
0.23184	1.3698	2.0711
0.23314	1.3776	2.1033
0.23444	1.386	2.1368
0.23577	1.3952	2.1718
0.2371	1.4052	2.2085
0.23845	1.4162	2.2468
0.23982	1.4284	2.287
0.2412	1.4418	2.3291
0.2426	1.4568	2.3734
0.24402	1.4735	2.42
0.24545	1.4922	2.4691
0.2469	1.5134	2.5207
0.24837	1.5373	2.5752
0.24985	1.5646	2.6326
0.25135	1.5959	2.693
0.25287	1.6317	2.7567
0.25441	1.673	2.8235
0.25597	1.7209	2.8936
0.25755	1.7765	2.9666
0.25914	1.8413	3.0422
0.26076	1.9169	3.1195
0.26239	2.0051	3.1975
0.26405	2.1081	3.2741
0.26573	2.2277	3.3468
0.26743	2.3656	3.4117
0.26915	2.5228	3.4637
0.27089	2.6987	3.4965
0.27266	2.8901	3.503
0.27445	3.0909	3.4765
0.27626	3.2916	3.4121
0.2781	3.4802	3.3091
0.27996	3.6446	3.1719
0.28185	3.7753	3.0098
0.28376	3.8678	2.8349
0.2857	3.9228	2.6592
0.28766	3.945	2.4922
0.28966	3.9411	2.3403
0.29168	3.9181	2.2064
0.29372	3.8823	2.0914
0.2958	3.8388	1.9943
0.29791	3.7914	1.9136
0.30005	3.7429	1.8474
0.30222	3.6951	1.7936
0.30442	3.6493	1.7505
0.30665	3.6064	1.7164
0.30891	3.5667	1.6899
0.31121	3.5304	1.6698
0.31354	3.4978	1.6551
0.31591	3.4688	1.645
0.31832	3.4432	1.6386
0.32076	3.4211	1.6355
0.32324	3.4023	1.635
0.32576	3.3865	1.6369
0.32831	3.3738	1.6407
0.33091	3.364	1.6462
0.33355	3.3569	1.653
0.33623	3.3524	1.661
0.33896	3.3504	1.67
0.34173	3.3508	1.6798
0.34454	3.3536	1.6903
0.34741	3.3585	1.7014
0.35032	3.3657	1.7131
0.35328	3.375	1.7251
0.35629	3.3863	1.7374
0.35935	3.3996	1.7501
0.36246	3.415	1.7629
0.36563	3.4322	1.7759
