Wavelength	n	k
0.0000248	1	5.38e-11
0.000031	1	1.35e-10
0.00004133	1	4.8e-10
0.00006199	1.001	2.04e-9
0.000124	1	3.33e-8
0.000155	1	8.27e-8
0.0002066	0.9999	2.75e-7
0.00031	0.9998	0.00000119
0.0006199	0.9999	0.0000175
0.0008266	1	0.0000476
0.0009537	1	0.000015
0.000984	1	0.00000815
0.0009919	0.9999	0.00000709
0.001033	1	0.00000894
0.00124	0.9999	0.0000186
0.00155	0.9996	0.0000441
0.002066	0.999	0.000139
0.00248	0.9987	0.000266
0.002755	0.9984	0.000375
0.0031	0.9977	0.000542
0.003542	0.9974	0.000811
0.004133	0.9963	0.00125
0.004959	0.9948	0.00215
0.006199	0.9923	0.00407
0.006888	0.9911	0.0053
0.007749	0.9891	0.00711
0.008266	0.9881	0.00816
0.008551	0.9871	0.00885
0.008856	0.986	0.01
0.009184	0.9849	0.0116
0.009537	0.9846	0.0135
0.009919	0.9847	0.0152
0.01033	0.9846	0.0166
0.01078	0.9841	0.0177
0.01127	0.9829	0.0193
0.01181	0.9815	0.0225
0.0124	0.9815	0.0268
0.01305	0.9838	0.031
0.01378	0.986	0.033
0.01393	0.9867	0.0337
0.01409	0.987	0.0334
0.01425	0.987	0.0334
0.01442	0.987	0.0336
0.01476	0.988	0.0345
0.01512	0.988	0.0352
0.0155	0.987	0.036
0.0159	0.986	0.0374
0.01631	0.984	0.0414
0.01675	0.986	0.0475
0.01722	0.992	0.0526
0.01771	1	0.0533
0.01823	1.005	0.0503
0.01879	1.008	0.0458
0.01937	1.008	0.0432
0.02	1.008	0.0414
0.02066	1.008	0.0409
0.02101	1.008	0.041
0.02138	1.009	0.0408
0.02175	1.01	0.0409
0.02214	1.011	0.0418
0.02234	1.012	0.0412
0.02254	1.013	0.0406
0.02275	1.013	0.0398
0.02296	1.014	0.0401
0.02317	1.015	0.0407
0.02339	1.017	0.0393
0.02362	1.018	0.0388
0.02384	1.019	0.0376
0.02407	1.02	0.0372
0.02431	1.021	0.0358
0.02455	1.023	0.0379
0.0248	1.03	0.0417
0.0249	1.04	0.0418
0.025	1.05	0.0338
0.0251	1.053	0.0106
0.0252	1.04	0.00492
0.0253	1.033	0.00492
0.02556	1.023	0.00496
0.02583	1.018	0.00502
0.02695	1.004	0.00597
0.02818	0.997	0.00686
0.02952	0.989	0.00736
0.031	0.982	0.00884
0.03263	0.975	0.0102
0.03444	0.967	0.0114
0.03647	0.959	0.0141
0.03875	0.95	0.0154
0.04133	0.939	0.0169
0.04428	0.924	0.0196
0.04769	0.906	0.0252
0.05166	0.885	0.033
0.05636	0.861	0.0454
0.06199	0.833	0.0592
0.06888	0.798	0.0731
0.07749	0.741	0.0792
0.08266	0.692	0.0916
0.08856	0.644	0.111
0.09537	0.577	0.127
0.1033	0.477	0.145
0.1078	0.404	0.158
0.1127	0.293	0.176
0.1181	0.11	0.296
0.124	0.0723	0.499
0.1305	0.0691	0.647
0.1378	0.0717	0.787
0.1459	0.0858	0.926
0.155	0.115	1.06
0.1653	0.155	1.19
0.1698	0.171	1.23
0.1746	0.184	1.27
0.1797	0.194	1.31
0.1851	0.199	1.35
0.1907	0.197	1.39
0.1968	0.187	1.44
0.2033	0.166	1.49
0.2101	0.14	1.56
0.2175	0.121	1.64
0.2214	0.112	1.74
0.248	0.111	2
0.31	0.132	2.63
0.4133	0.184	3.66
0.6199	0.382	5.74
0.8266	0.791	7.96
1.24	2.997	12.8
1.378	4.776	14.5
1.55	8.269	15.5
1.771	11.2	10.2
1.907	8.809	8.98
2.066	6.056	9.33
2.254	4.194	12.2
2.48	4.509	14.7
2.755	5.056	16.8
3.1	6.069	19.5
3.542	7.519	22.2
4.133	9.516	25.1
4.959	12.3	28.8
6.199	15.2	32.6
8.266	18.9	37.6
12.4	23.8	48.8
24.8	30.3	60.2
