Wavelength	n	k
0.00000248	1.003	3.98e-12
0.000006199	0.998	1.15e-10
0.0000124	0.999	1.49e-9
0.00001653	1	4.33e-9
0.0000248	1.003	1.92e-8
0.000031	1.003	4.64e-8
0.00004133	1	1.32e-7
0.00004769	1.001	2.11e-7
0.00004959	1.001	3.63e-8
0.00006199	0.999	9.57e-8
0.000124	0.999	0.00000129
0.000155	1	0.00000292
0.0002066	1.002	0.00000836
0.000248	1.001	0.0000152
0.0002755	1.001	0.0000221
0.00031	1.003	0.0000357
0.0003444	1.003	0.0000324
0.0003542	1.003	0.0000172
0.0004133	1.001	0.0000143
0.0004959	1.001	0.000024
0.0006199	1.001	0.0000472
0.0008266	0.999	0.000121
0.00124	0.998	0.000523
0.00155	0.997	0.00108
0.001675	0.998	0.00142
0.002066	0.997	0.00269
0.00248	0.997	0.00457
0.0031	0.998	0.00882
0.003351	1.007	0.00823
0.003542	1.001	0.00168
0.004133	0.996	0.00232
0.004428	0.994	0.0027
0.004769	0.992	0.00311
0.005166	0.989	0.0035
0.005636	0.987	0.00345
0.006199	0.982	0.00377
0.006888	0.978	0.00431
0.007293	0.973	0.00442
0.007749	0.968	0.00438
0.008266	0.963	0.00407
0.008856	0.955	0.00354
0.009537	0.943	0.00366
0.01033	0.926	0.00622
0.01127	0.902	0.0172
0.01181	0.89	0.0261
0.0124	0.876	0.0382
0.01305	0.861	0.0565
0.01378	0.849	0.0842
0.01459	0.846	0.111
0.0155	0.848	0.139
0.0159	0.851	0.149
0.01631	0.853	0.158
0.01675	0.853	0.166
0.01722	0.851	0.181
0.01771	0.859	0.197
0.01823	0.871	0.208
0.01879	0.883	0.211
0.01937	0.885	0.21
0.02	0.881	0.211
0.02066	0.873	0.221
0.02138	0.868	0.237
0.02214	0.871	0.259
0.02296	0.885	0.274
0.02339	0.89	0.275
0.02384	0.889	0.276
0.02431	0.886	0.281
0.0248	0.884	0.29
0.0253	0.885	0.3
0.02583	0.888	0.309
0.02638	0.893	0.317
0.02695	0.896	0.323
0.02818	0.899	0.334
0.02952	0.897	0.349
0.031	0.896	0.368
0.03179	0.895	0.378
0.03263	0.892	0.388
0.03351	0.885	0.4
0.03444	0.876	0.418
0.03542	0.865	0.454
0.03647	0.879	0.489
0.03757	0.899	0.514
0.03875	0.921	0.528
0.03999	0.932	0.534
0.04133	0.93	0.541
0.04275	0.919	0.557
0.0435	0.911	0.572
0.04428	0.902	0.59
0.04509	0.891	0.616
0.04592	0.886	0.65
0.04679	0.889	0.691
0.04769	0.897	0.734
0.04862	0.913	0.778
0.04959	0.947	0.828
0.05061	0.989	0.868
0.05166	1.039	0.904
0.05276	1.104	0.93
0.05391	1.175	0.943
0.0551	1.262	0.935
0.05636	1.338	0.874
0.05767	1.368	0.801
0.05904	1.346	0.745
0.06199	1.29	0.714
0.06525	1.266	0.752
0.06888	1.281	0.805
0.07293	1.33	0.964
0.07749	1.421	0.91
0.08266	1.66	0.918
0.08551	1.644	0.875
0.08856	1.72	0.783
0.09537	1.655	0.64
0.1033	1.608	0.587
0.1127	1.545	0.553
0.124	1.462	0.557
0.1378	1.326	0.562
0.155	1.16	0.753
0.1653	1.142	0.911
0.1771	1.178	1.06
0.1907	1.254	1.18
0.2066	1.339	1.28
0.2254	1.446	1.34
0.248	1.549	1.35
0.261	1.612	1.34
0.2755	1.694	1.28
0.2883	1.729	1.13
0.2952	1.752	1.06
0.3024	1.729	0.845
0.31	1.615	0.599
0.3179	1.295	0.36
0.3263	0.727	0.304
0.3289	0.527	0.399
0.3351	0.3	0.765
0.3444	0.23	1.13
0.3542	0.211	1.42
0.3815	0.229	1.86
0.4133	0.226	2.28
0.4959	0.237	3.09
0.6199	0.269	4.18
0.8266	0.271	5.8
1.24	0.278	9.02
2.48	0.669	18.8
3.1	0.909	22.9
4.133	1.411	30.5
6.199	2.842	45.7
12.4	9.936	90.2
24.8	36.7	173
49.59	118	306
124	309	506
248	531	689
