Wavelength	n	k
0.0294938	0.887314	0.187
0.0300495	0.883526	0.188
0.0306157	0.877279	0.191
0.0311925	0.870667	0.199
0.0317802	0.865582	0.209
0.032379	0.862174	0.22
0.032989	0.860291	0.231
0.0336106	0.859091	0.241
0.0342439	0.858507	0.252
0.0348891	0.858497	0.262
0.0355464	0.859036	0.273
0.0362162	0.860235	0.283
0.0368985	0.861649	0.293
0.0375937	0.863507	0.303
0.0383021	0.865407	0.312
0.0390237	0.867515	0.322
0.039759	0.870103	0.331
0.0405081	0.872251	0.339
0.0412713	0.874093	0.348
0.0420489	0.876263	0.357
0.0428412	0.878275	0.365
0.0436483	0.87964	0.373
0.0444707	0.880129	0.381
0.0453086	0.880275	0.391
0.0461623	0.881184	0.402
0.0470321	0.882563	0.412
0.0479182	0.883251	0.421
0.048821	0.881493	0.429
0.0497409	0.878349	0.443
0.0506781	0.877114	0.461
0.0516329	0.878412	0.48
0.0526057	0.882654	0.501001
0.0535969	0.891949	0.522999
0.0546067	0.903256	0.535
0.0556356	0.9099	0.542
0.0566838	0.914526	0.558
0.0577518	0.92129	0.574
0.05884	0.929812	0.591
0.0599486	0.941993	0.609
0.0610781	0.954689	0.617
0.0622289	0.96276	0.623
0.0634014	0.967331	0.633
0.0645959	0.972348	0.649001
0.065813	0.979227	0.665
0.067053	0.988735	0.684001
0.0683163	0.99924	0.697
0.0696035	1.008544	0.712
0.0709149	1.01816	0.728
0.0722511	1.026595	0.743
0.0736124	1.038517	0.770001
0.0749993	1.058245	0.792
0.0764124	1.078446	0.802
0.0778521	1.09483	0.811
0.0793189	1.107957	0.819
0.0808134	1.113578	0.824
0.082336	1.118704	0.853
0.0838874	1.135462	0.886998
0.0854679	1.159903	0.910999
0.0870782	1.182587	0.926001
0.0887189	1.209856	0.956
0.0903905	1.222391	0.943001
0.0920935	1.255146	1.04
0.0938287	1.32313	1.04
0.0955966	1.355658	1.000001
0.0973977	1.381876	1.039997
0.0992328	1.423695	1.04
0.101102	1.462605	1.05
0.103007	1.516706	1.069999
0.104948	1.572582	1.040002
0.106926	1.611368	1.01
0.10894	1.640192	0.982642
0.110993	1.666027	0.96411
0.113084	1.689775	0.9383
0.115215	1.705699	0.911129
0.117385	1.719929	0.898454
0.119597	1.73764	0.880978
0.12185	1.741873	0.842602
0.124146	1.745046	0.853835
0.126485	1.760641	0.844727
0.128869	1.77691	0.836531
0.131297	1.791499	0.817832
0.13377	1.80194	0.801912
0.136291	1.808534	0.782211
0.138859	1.809249	0.765015
0.141475	1.80675	0.755215
0.144141	1.803693	0.750299
0.146856	1.802791	0.752538
0.149623	1.803949	0.753066
0.152442	1.807081	0.758887
0.155315	1.81343	0.762572
0.158241	1.816681	0.758419
0.161222	1.815331	0.763733
0.16426	1.819607	0.783252
0.167355	1.82787	0.790552
0.170508	1.833097	0.802448
0.173721	1.84264	0.827663
0.176994	1.859949	0.850703
0.180329	1.886402	0.877517
0.183726	1.907338	0.873986
0.187188	1.927943	0.913957
0.190715	1.97103	0.950735
0.194308	2.018102	0.954682
0.197969	2.065739	0.976125
0.201699	2.124363	0.98747
0.205499	2.187821	0.98585
0.209371	2.252461	0.97423
0.213316	2.317765	0.954646
0.217335	2.383453	0.925142
0.22143	2.448583	0.884836
0.225602	2.510247	0.828696
0.229853	2.559918	0.752588
0.234183	2.592864	0.672583
0.238596	2.610037	0.591242
0.243091	2.614369	0.518054
0.247671	2.611533	0.452457
0.252338	2.601842	0.387131
0.257092	2.583646	0.326981
0.261936	2.5585	0.274948
0.266871	2.529054	0.232703
0.271899	2.498146	0.200034
0.277022	2.468192	0.175849
0.282242	2.440879	0.158014
0.28756	2.416946	0.144266
0.292978	2.39603	0.132192
0.298498	2.377475	0.121522
0.304122	2.361544	0.112057
0.309852	2.344878	0.097244
0.31569	2.327401	0.090259
0.321638	2.313067	0.08489
0.327698	2.299073	0.075455
0.333872	2.284646	0.07085
0.340163	2.272668	0.068438
0.346572	2.262346	0.063965
0.353102	2.25238	0.059838
0.359755	2.242995	0.056106
0.366533	2.234227	0.052575
0.373439	2.225945	0.049079
0.380475	2.218046	0.045771
0.387643	2.210459	0.04257
0.394947	2.203195	0.039735
0.402388	2.196309	0.037077
0.40997	2.189773	0.034591
0.417694	2.183516	0.03215
0.425564	2.177509	0.029938
0.433582	2.171784	0.027862
0.441752	2.166291	0.025847
0.450075	2.160999	0.023992
0.458555	2.155916	0.02226
0.467195	2.151042	0.020672
0.475997	2.146366	0.01916
0.484965	2.141875	0.017776
0.494103	2.137538	0.016424
0.503412	2.133353	0.015261
0.512897	2.129353	0.014182
0.522561	2.12552	0.013182
0.532407	2.121802	0.012206
0.542438	2.118237	0.011465
0.552658	2.114865	0.010744
0.563071	2.111633	0.010065
0.57368	2.108538	0.009478
0.584489	2.105606	0.008958
0.595501	2.10278	0.008386
0.606721	2.100052	0.007976
0.618153	2.097506	0.00766
0.629799	2.095102	0.007266
0.641666	2.092795	0.006922
0.653756	2.090601	0.006599
0.666073	2.088483	0.006256
0.678623	2.086529	0.00612
0.691409	2.084691	0.005687
0.704436	2.082859	0.005339
0.717708	2.081029	0.004917
0.731231	2.07927	0.004765
0.745008	2.077617	0.004474
0.759045	2.076014	0.004288
0.773347	2.074499	0.004105
0.787917	2.073057	0.003927
0.802763	2.071678	0.003752
0.817888	2.070356	0.00358
0.833298	2.069088	0.003417
0.848998	2.067873	0.003264
0.864995	2.06671	0.003113
0.881292	2.065595	0.002965
0.897897	2.064523	0.002819
0.914814	2.063492	0.002676
0.932051	2.0625	0.002535
0.949612	2.061544	0.002397
0.967504	2.060621	0.00226
0.985733	2.059728	0.002126
1.00431	2.058858	0.001993
1.02323	2.058014	0.001883
1.04251	2.057206	0.001791
1.06215	2.056435	0.001702
1.08216	2.055695	0.001614
1.10255	2.054984	0.001527
1.12332	2.0543	0.001442
1.14449	2.05364	0.001359
1.16605	2.053003	0.001277
1.18802	2.052387	0.001197
1.21041	2.05179	0.001118
1.23321	2.051209	0.00104
1.25645	2.050644	0.000974
1.28012	2.050097	0.000912
1.30424	2.049564	0.000852
1.32881	2.049043	0.000807
1.35385	2.048546	0.00079
1.37936	2.048078	0.000773
1.40535	2.047633	0.000757
1.43182	2.047209	0.000741
1.4588	2.046804	0.000725
1.48629	2.046415	0.00071
1.51429	2.046043	0.000694
1.5201	2.1057	0.0025268
1.5435	2.1048	0.0025726
1.5672	2.1039	0.0026195
1.5912	2.1031	0.0026674
1.6157	2.1022	0.0027163
1.6404	2.1013	0.0027664
1.6656	2.1004	0.0028176
1.6912	2.0996	0.0028699
1.7172	2.0987	0.0029235
1.7435	2.0978	0.0029783
1.7703	2.0969	0.0030344
1.7974	2.0961	0.0030918
1.825	2.0952	0.0031506
1.853	2.0943	0.0032108
1.8815	2.0934	0.0032725
1.9104	2.0925	0.0033357
1.9397	2.0916	0.0034005
1.9695	2.0907	0.0034669
1.9997	2.0897	0.003535
2.0304	2.0888	0.0036048
2.0615	2.0879	0.0036764
2.0932	2.0869	0.0037499
2.1253	2.0859	0.0038253
2.1579	2.0849	0.0039027
2.1911	2.0839	0.0039822
2.2247	2.0829	0.0040639
2.2588	2.0819	0.0041478
2.2935	2.0808	0.004234
2.3287	2.0797	0.0043226
2.3644	2.0786	0.0044137
2.4007	2.0775	0.0045074
2.4376	2.0764	0.0046038
2.475	2.0752	0.004703
2.513	2.074	0.0048051
2.5516	2.0728	0.0049103
2.5907	2.0716	0.0050186
2.6305	2.0703	0.0051302
2.6709	2.069	0.0052452
2.7119	2.0677	0.0053638
2.7535	2.0663	0.0054861
2.7957	2.0649	0.0056123
2.8387	2.0635	0.0057425
2.8822	2.062	0.0058769
2.9265	2.0605	0.0060157
2.9714	2.059	0.006159
3.017	2.0574	0.0063072
3.0633	2.0558	0.0064604
3.1103	2.0541	0.0066188
3.1581	2.0524	0.0067826
3.2065	2.0506	0.0069522
3.2557	2.0488	0.0071277
3.3057	2.0469	0.0073095
3.3565	2.0449	0.0074978
3.408	2.0429	0.007693
3.4603	2.0409	0.0078953
3.5134	2.0388	0.0081052
3.5673	2.0366	0.008323
3.6221	2.0344	0.008549
3.6777	2.032	0.0087838
3.7341	2.0297	0.0090276
3.7914	2.0272	0.0092811
3.8496	2.0246	0.0095446
3.9087	2.022	0.0098188
3.9687	2.0193	0.010104
4.0296	2.0165	0.010401
4.0915	2.0136	0.01071
4.1543	2.0106	0.011033
4.218	2.0076	0.011369
4.2828	2.0044	0.01172
4.3485	2.0011	0.012085
4.4153	1.9977	0.012467
4.483	1.9941	0.012866
4.5518	1.9905	0.013284
4.6217	1.9867	0.01372
4.6926	1.9828	0.014176
4.7647	1.9788	0.014654
4.8378	1.9746	0.015154
4.9121	1.9703	0.015678
4.9875	1.9658	0.016228
5.064	1.9611	0.016805
5.1417	1.9563	0.017411
5.2207	1.9513	0.018047
5.3008	1.9462	0.018717
5.3821	1.9408	0.019421
5.4648	1.9352	0.020162
5.5486	1.9294	0.020942
5.6338	1.9234	0.021766
5.7203	1.9172	0.022634
5.8081	1.9107	0.023551
5.8972	1.904	0.024521
5.9877	1.897	0.025546
6.0796	1.8897	0.026632
6.173	1.8821	0.027782
6.2677	1.8743	0.029003
6.3639	1.866	0.030299
6.4616	1.8575	0.031676
6.5608	1.8486	0.033143
6.6615	1.8393	0.034705
6.7637	1.8296	0.036372
6.8675	1.8195	0.038153
6.9729	1.8089	0.040058
7.08	1.7978	0.0421
7.1886	1.7863	0.044291
7.299	1.7741	0.046647
7.411	1.7615	0.049184
7.5247	1.7482	0.051922
7.6402	1.7342	0.054883
7.7575	1.7195	0.058093
7.8766	1.7041	0.061581
7.9975	1.6879	0.065382
8.1202	1.6708	0.069535
8.2449	1.6528	0.07409
8.3714	1.6337	0.079102
8.4999	1.6135	0.084638
8.6304	1.5921	0.090781
8.7628	1.5694	0.09763
8.8973	1.5453	0.10531
9.0339	1.5196	0.11397
9.1726	1.4922	0.1238
9.3133	1.4628	0.13506
9.4563	1.4314	0.14805
9.6014	1.3976	0.16319
9.7488	1.3614	0.18104
9.8984	1.3225	0.20233
10.05	1.2808	0.22806
10.205	1.2364	0.25957
10.361	1.1898	0.29866
10.52	1.1423	0.3476
10.682	1.0966	0.4089
10.846	1.0575	0.48455
11.012	1.0324	0.57426
11.181	1.0295	0.67319
11.353	1.0553	0.77072
11.527	1.11	0.85129
11.704	1.1833	0.89854
11.884	1.2536	0.90417
12.066	1.2969	0.87668
12.251	1.3014	0.83774
12.439	1.2711	0.8081
12.63	1.2178	0.79921
12.824	1.1529	0.81455
13.021	1.0856	0.8534
13.221	1.0224	0.9131
13.424	0.96797	0.98995
13.63	0.92521	1.0797
13.839	0.89514	1.1784
14.051	0.87759	1.2828
14.267	0.87176	1.3906
14.486	0.87676	1.5003
14.708	0.89187	1.6113
14.934	0.9167	1.723
15.163	0.95117	1.8352
15.396	0.99553	1.9475
15.632	1.0503	2.0597
15.872	1.1163	2.1712
16.116	1.1947	2.281
16.363	1.2865	2.3879
16.614	1.393	2.4899
16.869	1.5154	2.5844
17.128	1.6545	2.6678
17.391	1.81	2.7358
17.658	1.9805	2.7831
17.929	2.1624	2.8043
18.204	2.3501	2.7945
18.484	2.5354	2.7508
18.768	2.7087	2.6732
19.056	2.8607	2.5654
19.348	2.984	2.4344
19.645	3.0744	2.2893
19.947	3.1314	2.1394
20.253	3.1573	1.9927
20.564	3.1562	1.8549
20.879	3.1329	1.7299
21.2	3.0921	1.6197
21.525	3.0378	1.5249
21.856	2.9732	1.4455
22.191	2.9009	1.3809
22.532	2.8228	1.3306
22.877	2.7404	1.294
23.229	2.6546	1.2708
23.585	2.5666	1.2607
23.947	2.477	1.2638
24.315	2.3868	1.2805
24.688	2.2973	1.3113
25.067	2.2098	1.3567
25.452	2.1265	1.4173
25.842	2.05	1.4933
26.239	1.9831	1.5843
26.642	1.9294	1.6888
27.051	1.8919	1.8046
27.466	1.8735	1.9282
27.887	1.8761	2.0552
28.315	1.9007	2.1804
28.75	1.947	2.2979
29.191	2.0126	2.4012
29.639	2.0926	2.4839
30.094	2.179	2.5412
30.556	2.2613	2.5718
31.025	2.3282	2.5792
31.501	2.3711	2.572
31.985	2.3857	2.5621
32.476	2.3738	2.5615
32.974	2.3413	2.5796
33.48	2.2964	2.6221
33.994	2.2481	2.6913
34.516	2.204	2.7863
35.046	2.1705	2.9044
35.584	2.152	3.0421
36.13	2.1514	3.1956
36.684	2.1706	3.3615
37.248	2.211	3.5367
37.819	2.2735	3.7188
38.4	2.3593	3.9055
38.989	2.4695	4.0944
39.588	2.6058	4.2833
40.195	2.77	4.469
