Wavelength	n	k
0.21	1.417	0.003
0.22	1.418	0.003
0.23	1.421	0.003
0.24	1.425	0.003
0.25	1.43	0.004
0.26	1.436	0.004
0.27	1.444	0.004
0.28	1.451	0.005
0.29	1.459	0.005
0.3	1.469	0.005
0.31	1.476	0.006
0.32	1.486	0.006
0.33	1.499	0.007
0.34	1.508	0.007
0.35	1.523	0.008
0.36	1.565	0.01
0.37	1.627	0.009
0.38	1.614	0.006
0.39	1.572	0.006
0.4	1.557	0.006
0.41	1.55	0.006
0.42	1.547	0.006
0.43	1.546	0.006
0.44	1.547	0.007
0.45	1.548	0.007
0.46	1.55	0.007
0.47	1.553	0.007
0.48	1.556	0.008
0.49	1.559	0.008
0.5	1.56	0.008
0.51	1.561	0.008
0.52	1.563	0.008
0.53	1.566	0.009
0.5402	1.568	0.009
0.55	1.57	0.009
0.56	1.571	0.009
0.57	1.573	0.009
0.58	1.575	0.01
0.59	1.577	0.01
0.6	1.579	0.01
0.61	1.581	0.01
0.62	1.583	0.01
0.63	1.584	0.01
0.64	1.586	0.011
0.65	1.587	0.011
0.66	1.588	0.011
0.67	1.59	0.011
0.68	1.592	0.011
0.69	1.594	0.012
0.7	1.596	0.012
0.71	1.597	0.012
0.72	1.599	0.012
0.73	1.601	0.012
0.74	1.602	0.013
0.75	1.604	0.013
0.76	1.606	0.013
0.77	1.608	0.013
0.78	1.609	0.014
0.79	1.61	0.014
0.8	1.612	0.014
0.81	1.612	0.014
0.82	1.614	0.014
0.83	1.616	0.015
0.84	1.617	0.015
0.85	1.619	0.015
0.86	1.622	0.016
0.87	1.624	0.016
0.88	1.627	0.016
0.89	1.63	0.017
0.9	1.633	0.017
0.91	1.636	0.017
0.92	1.638	0.017
0.93	1.641	0.017
0.94	1.643	0.018
0.95	1.646	0.018
0.96	1.648	0.018
0.97	1.65	0.018
0.98	1.652	0.018
0.99	1.654	0.018
1	1.656	0.019
1.01	1.658	0.019
1.02	1.659	0.019
1.03	1.662	0.019
1.04	1.663	0.019
1.05	1.664	0.019
1.06	1.666	0.019
1.07	1.668	0.02
1.08	1.669	0.02
1.09	1.671	0.02
1.1	1.672	0.02
1.11	1.673	0.02
1.12	1.675	0.02
1.13	1.678	0.021
1.14	1.68	0.021
1.15	1.681	0.021
1.16	1.682	0.021
1.17	1.683	0.021
1.18	1.684	0.021
1.19	1.685	0.021
1.2	1.687	0.021
1.21	1.688	0.021
1.22	1.689	0.021
1.23	1.69	0.021
1.24	1.691	0.021
1.25	1.692	0.021
1.26	1.693	0.021
1.27	1.694	0.022
1.28	1.695	0.022
1.29	1.695	0.022
1.3	1.696	0.022
1.31	1.697	0.022
1.32	1.697	0.022
1.33	1.698	0.022
1.34	1.699	0.022
1.35	1.7	0.022
1.36	1.701	0.022
1.37	1.701	0.022
1.38	1.702	0.022
1.39	1.702	0.022
1.4	1.703	0.022
1.41	1.704	0.022
1.42	1.704	0.022
1.43	1.705	0.023
1.44	1.706	0.023
1.45	1.707	0.023
1.46	1.707	0.023
1.47	1.708	0.023
1.48	1.708	0.023
1.49	1.709	0.023
1.5	1.709	0.023
1.51	1.71	0.023
1.52	1.711	0.023
1.53	1.709	0.023
1.54	1.709	0.023
1.55	1.712	0.023
1.56	1.713	0.023
1.57	1.713	0.023
1.58	1.712	0.023
1.59	1.712	0.024
1.6	1.714	0.024
1.61	1.714	0.024
1.62	1.714	0.024
1.63	1.715	0.024
1.64	1.716	0.024
1.65	1.716	0.024
1.66	1.717	0.024
1.67	1.717	0.024
1.68	1.717	0.024
1.69	1.717	0.024
1.7	1.718	0.024
1.71	1.718	0.024
1.72	1.719	0.024
1.73	1.72	0.024
1.74	1.72	0.024
1.75	1.721	0.024
1.76	1.721	0.024
1.77	1.722	0.024
1.78	1.722	0.024
1.79	1.723	0.024
1.8	1.722	0.024
1.81	1.72	0.024
1.82	1.721	0.025
1.83	1.723	0.025
1.84	1.725	0.025
1.85	1.724	0.024
1.86	1.722	0.024
1.87	1.722	0.025
1.88	1.723	0.025
1.89	1.724	0.025
1.9	1.725	0.025
1.91	1.725	0.025
1.92	1.726	0.025
1.93	1.726	0.025
1.94	1.727	0.025
1.95	1.728	0.025
1.96	1.728	0.025
1.97	1.728	0.025
1.98	1.728	0.025
1.99	1.728	0.025
2	1.728	0.025
2.01	1.728	0.025
2.02	1.728	0.026
2.03	1.729	0.026
2.04	1.729	0.026
2.05	1.73	0.026
2.06	1.73	0.026
2.07	1.73	0.026
2.08	1.73	0.026
2.09	1.731	0.026
2.1	1.73	0.026
2.11	1.73	0.026
2.12	1.731	0.026
2.13	1.731	0.026
2.14	1.732	0.026
2.15	1.732	0.026
2.16	1.732	0.026
2.17	1.732	0.026
2.18	1.733	0.026
2.19	1.733	0.026
2.2	1.733	0.026
2.21	1.733	0.026
2.22	1.733	0.026
2.23	1.733	0.026
2.24	1.734	0.026
2.25	1.734	0.026
2.26	1.734	0.026
2.27	1.734	0.026
2.28	1.734	0.026
2.29	1.734	0.027
2.3	1.735	0.027
2.31	1.735	0.027
2.32	1.735	0.027
2.33	1.735	0.027
2.34	1.736	0.027
2.35	1.736	0.027
2.36	1.736	0.027
2.37	1.736	0.027
2.38	1.736	0.027
2.39	1.737	0.027
2.4	1.737	0.027
2.41	1.738	0.027
2.42	1.738	0.027
2.43	1.738	0.027
2.44	1.738	0.027
2.45	1.738	0.027
2.46	1.739	0.027
2.47	1.739	0.027
2.48	1.739	0.027
2.49	1.739	0.027
2.5	1.74	0.028
2.5063	1.742	0.028
2.5126	1.745	0.028
2.5189	1.743	0.027
2.5253	1.745	0.027
2.5316	1.745	0.027
2.5381	1.745	0.027
2.5445	1.746	0.027
2.551	1.745	0.026
2.5575	1.744	0.027
2.5641	1.745	0.026
2.5707	1.743	0.026
2.5773	1.744	0.026
2.584	1.743	0.027
2.5907	1.747	0.026
2.5974	1.744	0.026
2.6042	1.747	0.026
2.611	1.743	0.026
2.6178	1.746	0.026
2.6247	1.747	0.025
2.6316	1.748	0.025
2.6385	1.746	0.024
2.6455	1.745	0.025
2.6525	1.746	0.024
2.6596	1.742	0.024
2.6667	1.744	0.025
2.6738	1.748	0.024
2.681	1.747	0.023
2.6882	1.745	0.022
2.6954	1.739	0.021
2.7027	1.735	0.021
2.71	1.734	0.022
2.7174	1.734	0.023
2.7248	1.735	0.022
2.7322	1.732	0.022
2.7397	1.733	0.022
2.7473	1.732	0.022
2.7548	1.731	0.022
2.7624	1.73	0.021
2.7701	1.726	0.022
2.7778	1.726	0.022
2.7855	1.723	0.022
2.7933	1.725	0.023
2.8011	1.726	0.022
2.809	1.722	0.022
2.8169	1.719	0.023
2.8249	1.721	0.024
2.8329	1.721	0.024
2.8409	1.721	0.024
2.849	1.72	0.024
2.8571	1.72	0.024
2.8653	1.72	0.025
2.8736	1.719	0.025
2.8818	1.719	0.025
2.8902	1.72	0.025
2.8986	1.721	0.025
2.907	1.716	0.025
2.9155	1.716	0.026
2.924	1.717	0.027
2.9326	1.719	0.027
2.9412	1.718	0.027
2.9499	1.717	0.027
2.9586	1.718	0.028
2.9674	1.717	0.028
2.9762	1.717	0.029
2.9851	1.721	0.03
2.994	1.723	0.029
3.003	1.721	0.029
3.012	1.724	0.03
3.0211	1.723	0.029
3.0303	1.721	0.03
3.0395	1.725	0.03
3.0488	1.722	0.03
3.0581	1.726	0.03
3.0675	1.724	0.03
3.0769	1.722	0.03
3.0864	1.725	0.032
3.096	1.726	0.031
3.1056	1.726	0.032
3.1153	1.728	0.031
3.125	1.727	0.031
3.1348	1.728	0.031
3.1447	1.729	0.032
3.1546	1.731	0.032
3.1646	1.73	0.031
3.1746	1.728	0.031
3.1847	1.73	0.032
3.1949	1.732	0.032
3.2051	1.729	0.031
3.2154	1.729	0.032
3.2258	1.733	0.033
3.2362	1.733	0.032
3.2468	1.73	0.032
3.2573	1.733	0.033
3.268	1.735	0.033
3.2787	1.736	0.032
3.2895	1.735	0.032
3.3003	1.733	0.032
3.3113	1.737	0.033
3.3223	1.738	0.032
3.3333	1.736	0.032
3.3445	1.734	0.031
3.3557	1.733	0.032
3.367	1.735	0.032
3.3784	1.735	0.032
3.3898	1.735	0.032
3.4014	1.732	0.032
3.413	1.731	0.032
3.4247	1.731	0.033
3.4364	1.735	0.033
3.4483	1.734	0.033
3.4602	1.737	0.033
3.4722	1.736	0.033
3.4843	1.734	0.033
3.4965	1.732	0.033
3.5088	1.734	0.034
3.5211	1.736	0.035
3.5336	1.74	0.035
3.5461	1.738	0.033
3.5587	1.736	0.034
3.5714	1.741	0.035
3.5842	1.74	0.033
3.5971	1.737	0.034
3.6101	1.741	0.034
3.6232	1.74	0.034
3.6364	1.743	0.034
3.6496	1.739	0.033
3.663	1.74	0.035
3.6765	1.741	0.034
3.69	1.74	0.034
3.7037	1.739	0.034
3.7175	1.74	0.035
3.7313	1.743	0.034
3.7453	1.74	0.034
3.7594	1.741	0.035
3.7736	1.742	0.034
3.7879	1.744	0.034
3.8023	1.743	0.033
3.8168	1.74	0.034
3.8314	1.743	0.034
3.8462	1.745	0.034
3.861	1.742	0.033
3.876	1.74	0.034
3.8911	1.742	0.034
3.9063	1.744	0.034
3.9216	1.745	0.034
3.937	1.745	0.034
3.9526	1.744	0.033
3.9683	1.744	0.033
3.9841	1.742	0.033
4	1.743	0.034
4.0161	1.745	0.033
4.0323	1.744	0.032
4.0486	1.742	0.032
4.065	1.742	0.033
4.0816	1.743	0.033
4.0984	1.743	0.033
4.1152	1.744	0.033
4.1322	1.744	0.032
4.1494	1.742	0.032
4.1667	1.741	0.032
4.1841	1.744	0.033
4.2017	1.741	0.031
4.2194	1.742	0.032
4.2373	1.741	0.031
4.2553	1.739	0.032
4.2735	1.738	0.032
4.2918	1.739	0.033
4.3103	1.741	0.032
4.329	1.74	0.032
4.3478	1.738	0.032
4.3668	1.739	0.032
4.386	1.738	0.032
4.4053	1.738	0.032
4.4248	1.738	0.032
4.4444	1.737	0.031
4.4643	1.736	0.032
4.4843	1.736	0.032
4.5045	1.734	0.032
4.5249	1.737	0.032
4.5455	1.736	0.032
4.5662	1.737	0.032
4.5872	1.737	0.032
4.6083	1.735	0.032
4.6296	1.735	0.032
4.6512	1.735	0.031
4.6729	1.732	0.031
4.6948	1.733	0.032
4.717	1.73	0.032
4.7393	1.731	0.033
4.7619	1.732	0.033
4.7847	1.732	0.032
4.8077	1.732	0.033
4.8309	1.733	0.032
4.8544	1.73	0.033
4.878	1.731	0.033
4.902	1.73	0.033
4.9261	1.729	0.033
4.9505	1.729	0.034
4.9751	1.729	0.034
5	1.73	0.036
5.0251	1.734	0.036
5.0505	1.734	0.034
5.0761	1.734	0.033
5.102	1.733	0.033
5.1282	1.731	0.033
5.1546	1.731	0.033
5.1813	1.731	0.033
5.2083	1.73	0.033
5.2356	1.731	0.033
5.2632	1.73	0.032
5.291	1.73	0.032
5.3191	1.729	0.032
5.3476	1.729	0.031
5.3763	1.726	0.031
5.4054	1.727	0.032
5.4348	1.729	0.032
5.4645	1.727	0.03
5.4945	1.725	0.03
5.5249	1.726	0.03
5.5556	1.724	0.03
5.5866	1.724	0.03
5.618	1.723	0.029
5.6497	1.722	0.028
5.6818	1.718	0.027
5.7143	1.713	0.028
5.7471	1.713	0.03
5.7803	1.713	0.031
5.814	1.713	0.032
5.848	1.714	0.032
5.8824	1.716	0.031
5.9172	1.712	0.03
5.9524	1.713	0.031
5.988	1.713	0.03
6.0241	1.71	0.031
6.0606	1.712	0.031
6.0976	1.709	0.028
6.135	1.706	0.029
6.1728	1.706	0.03
6.2112	1.705	0.03
6.25	1.702	0.03
6.2893	1.701	0.031
6.3291	1.701	0.031
6.3694	1.699	0.031
6.4103	1.702	0.033
6.4516	1.702	0.03
6.4935	1.699	0.03
6.5359	1.695	0.03
6.5789	1.695	0.03
6.6225	1.694	0.03
6.6667	1.691	0.031
6.7114	1.692	0.031
6.7568	1.688	0.03
6.8027	1.685	0.031
6.8493	1.684	0.031
6.8966	1.681	0.032
6.9444	1.683	0.034
6.993	1.682	0.034
7.0423	1.682	0.034
7.0922	1.677	0.034
7.1429	1.679	0.036
7.1942	1.677	0.033
7.2464	1.673	0.034
7.2993	1.67	0.037
7.4074	1.673	0.038
7.4627	1.671	0.035
7.5188	1.667	0.036
7.5758	1.666	0.037
7.6336	1.665	0.038
7.6923	1.663	0.037
7.7519	1.661	0.037
7.8125	1.659	0.037
7.874	1.657	0.037
7.9365	1.655	0.039
8	1.654	0.037
8.0645	1.649	0.04
8.1301	1.651	0.042
8.1967	1.649	0.039
8.2645	1.644	0.039
8.3333	1.643	0.04
8.4034	1.64	0.04
8.4746	1.638	0.041
8.547	1.635	0.039
8.6207	1.63	0.04
8.6957	1.627	0.041
8.7719	1.624	0.043
8.8496	1.621	0.043
8.9286	1.618	0.044
9.009	1.615	0.044
9.0909	1.61	0.045
9.1743	1.608	0.048
9.2593	1.605	0.049
9.3458	1.601	0.049
9.434	1.597	0.05
9.5238	1.592	0.052
9.6154	1.588	0.054
9.7087	1.586	0.058
9.8039	1.584	0.057
9.901	1.578	0.058
10	1.574	0.06
10.101	1.574	0.062
10.2041	1.569	0.059
10.3093	1.562	0.06
10.4167	1.559	0.061
10.5263	1.554	0.059
10.6383	1.546	0.061
10.7527	1.541	0.061
10.8696	1.533	0.062
10.989	1.528	0.066
11.1111	1.523	0.065
11.236	1.515	0.067
11.3636	1.51	0.069
11.4943	1.504	0.069
11.6279	1.499	0.069
11.7647	1.491	0.067
11.9048	1.484	0.066
12.0482	1.473	0.062
12.1951	1.46	0.062
12.3457	1.448	0.062
12.5	1.436	0.063
12.6582	1.422	0.062
12.8205	1.408	0.063
12.987	1.392	0.062
13.1579	1.375	0.062
13.3333	1.354	0.064
13.5135	1.335	0.069
13.6986	1.317	0.071
13.8889	1.296	0.073
14.0845	1.272	0.073
14.2857	1.246	0.076
14.4928	1.215	0.075
14.7059	1.183	0.081
14.9254	1.15	0.083
15.1515	1.109	0.084
15.3846	1.063	0.086
15.625	1.004	0.089
15.873	0.936	0.097
16.129	0.859	0.11
16.3934	0.765	0.125
16.6667	0.631	0.152
16.9492	0.462	0.25
17.2414	0.331	0.421
17.5439	0.258	0.621
17.8571	0.235	0.818
18.1818	0.236	1.001
18.5185	0.254	1.179
18.8679	0.286	1.35
19.2308	0.328	1.522
19.6078	0.384	1.693
20	0.451	1.861
20.4082	0.521	2.026
20.8333	0.587	2.199
21.2766	0.644	2.4
21.7391	0.704	2.659
22.2222	0.797	3.017
22.7273	1.021	3.51
23.2558	1.509	4.071
23.8095	2.434	4.628
24.3902	3.94	4.458
25	4.884	3.404
25.641	5.09	2.304
26.3158	4.985	1.505
27.027	4.644	0.838
27.7778	4.223	0.533
28.5714	3.91	0.366
29.4118	3.646	0.301
30.303	3.484	0.289
31.25	3.376	0.256
32.2581	3.283	0.222
