Wavelength	n	k
0.22	1.007	0.697
0.24	0.995	1.145
0.26	1.091	1.433
0.28	1.178	1.651
0.3	1.271	1.845
0.32	1.36	2.009
0.34	1.452	2.174
0.36	1.55	2.308
0.38	1.636	2.452
0.4	1.734	2.579
0.42	1.836	2.708
0.44	1.935	2.817
0.46	2.034	2.926
0.48	2.134	3.033
0.5	2.245	3.138
0.52	2.356	3.228
0.54	2.47	3.319
0.56	2.593	3.401
0.58	2.731	3.466
0.6	2.857	3.503
0.62	2.968	3.537
0.64	3.078	3.566
0.66	3.179	3.586
0.68	3.274	3.603
0.7	3.364	3.616
0.72	3.448	3.623
0.74	3.526	3.628
0.76	3.595	3.63
0.78	3.66	3.631
0.8	3.724	3.627
0.82	3.76	3.619
0.84	3.801	3.627
0.86	3.83	3.63
0.88	3.856	3.653
0.9	3.888	3.685
0.92	3.931	3.714
0.94	3.97	3.736
0.96	4.016	3.761
0.98	4.061	3.79
1	4.098	3.804
1.02	4.138	3.831
1.04	4.179	3.852
1.06	4.226	3.88
1.08	4.275	3.9
1.1	4.319	3.911
1.12	4.365	3.921
1.14	4.402	3.931
1.16	4.443	3.934
1.18	4.475	3.94
1.2	4.51	3.936
1.22	4.515	3.942
1.24	4.539	3.959
1.26	4.558	3.98
1.28	4.581	4
1.3	4.603	4.009
1.32	4.627	4.023
1.34	4.649	4.049
1.36	4.68	4.065
1.38	4.697	4.074
1.4	4.704	4.091
1.42	4.734	4.113
1.44	4.754	4.128
1.46	4.777	4.15
1.48	4.8	4.166
1.5	4.819	4.182
1.52	4.846	4.192
1.54	4.846	4.203
1.56	4.878	4.229
1.58	4.896	4.238
1.6	4.914	4.253
1.62	4.933	4.278
1.64	4.95	4.282
1.66	4.958	4.292
1.68	4.97	4.311
1.7	4.983	4.328
1.72	4.997	4.332
1.74	5.003	4.357
1.76	5.016	4.371
1.78	5.027	4.387
1.8	5.03	4.393
1.82	5.025	4.433
1.84	5.047	4.462
1.86	5.055	4.466
1.88	5.05	4.521
1.9	5.097	4.559
1.92	5.126	4.572
1.94	5.162	4.565
1.96	5.174	4.573
1.98	5.194	4.573
2	5.183	4.586
2.02	5.209	4.584
2.04	5.207	4.597
2.06	5.212	4.606
2.08	5.21	4.618
2.1	5.217	4.637
2.12	5.223	4.655
2.14	5.241	4.667
2.16	5.24	4.666
2.18	5.236	4.679
2.2	5.241	4.693
2.22	5.239	4.702
2.24	5.239	4.707
2.26	5.231	4.724
